编号,深夜出没地,期末生存方式,宵夜频率,想加入的社团,经济状态,毕业最想带走,早八到教室,操场上的位置,搞砸了的那晚,相册里的多数
S0830,操场跑道,死磕课本,天天吃,志愿者协会,兼职自力更生,宿舍的那群人,卡着铃声冲进去，坐最后一排,跑道上，一个人戴着耳机跑,去操场跑到没力气,运动记录、跑步路线、装备
S0831,图书馆自习室,提前两周就复习完了,偶尔,摄影社,靠奖学金过日子,食堂的那个窗口,选了，但没去过几次,看台或树下，看别人动,去操场跑到没力气,课件、板书、PPT 截图
S0832,网吧,组团开黑边复习,偶尔,电竞社,靠奖学金过日子,图书馆那张常坐的座位,卡着铃声冲进去，坐最后一排,球场，组队打一场,去操场跑到没力气,运动记录、跑步路线、装备
S0833,宿舍床上,提前两周就复习完了,偶尔,辩论队,靠奖学金过日子,食堂的那个窗口,让室友帮忙占座，自己慢慢来,器械区随便练练，练完就走,睡一觉，第二天照常,课件、板书、PPT 截图
S0834,图书馆自习室,提前两周就复习完了,从不,辩论队,靠奖学金过日子,食堂的那个窗口,提前十分钟到，坐前排,跑道上，一个人戴着耳机跑,睡一觉，第二天照常,课件、板书、PPT 截图
S0835,食堂窗口,组团开黑边复习,从不,乐队,月初土豪，月底吃土,操场的那圈跑道,让室友帮忙占座，自己慢慢来,羽毛球乒乓球，约人打,拉朋友出去吃一顿,和朋友：合影、表情包、抓拍
S0836,宿舍床上,组团开黑边复习,天天吃,乐队,月初土豪，月底吃土,食堂的那个窗口,让室友帮忙占座，自己慢慢来,看台或树下，看别人动,给家里打个电话,吃的：外卖、食堂、探店
S0837,宿舍床上,提前两周就复习完了,偶尔,志愿者协会,靠奖学金过日子,图书馆那张常坐的座位,早上根本没课，我的课都在下午,跑道上，一个人戴着耳机跑,给家里打个电话,吃的：外卖、食堂、探店
S0838,网吧,提前两周就复习完了,一周三五次,乐队,靠奖学金过日子,宿舍的那群人,让室友帮忙占座，自己慢慢来,羽毛球乒乓球，约人打,拉朋友出去吃一顿,运动记录、跑步路线、装备
S0839,食堂窗口,临时抱佛脚,一周三五次,志愿者协会,家里定时打钱,操场的那圈跑道,卡着铃声冲进去，坐最后一排,跑道上，一个人戴着耳机跑,睡一觉，第二天照常,吃的：外卖、食堂、探店
S0840,图书馆自习室,临时抱佛脚,天天吃,电竞社,家里定时打钱,食堂的那个窗口,让室友帮忙占座，自己慢慢来,看台或树下，看别人动,给家里打个电话,风景和现场：演出、展览、天空
S0841,操场跑道,提前两周就复习完了,偶尔,志愿者协会,家里定时打钱,操场的那圈跑道,选了，但没去过几次,球场，组队打一场,去操场跑到没力气,运动记录、跑步路线、装备
S0842,图书馆自习室,死磕课本,偶尔,辩论队,家里定时打钱,宿舍的那群人,让室友帮忙占座，自己慢慢来,器械区随便练练，练完就走,给家里打个电话,和朋友：合影、表情包、抓拍
S0843,操场跑道,组团开黑边复习,天天吃,乐队,靠奖学金过日子,宿舍的那群人,让室友帮忙占座，自己慢慢来,球场，组队打一场,拉朋友出去吃一顿,和朋友：合影、表情包、抓拍
S0844,宿舍床上,组团开黑边复习,一周三五次,乐队,家里定时打钱,宿舍的那群人,让室友帮忙占座，自己慢慢来,器械区随便练练，练完就走,开黑到凌晨，把气打出去,吃的：外卖、食堂、探店
S0845,图书馆自习室,死磕课本,天天吃,辩论队,兼职自力更生,食堂的那个窗口,让室友帮忙占座，自己慢慢来,跑道上，一个人戴着耳机跑,给家里打个电话,和朋友：合影、表情包、抓拍
S0846,宿舍床上,临时抱佛脚,天天吃,电竞社,月初土豪，月底吃土,食堂的那个窗口,选了，但没去过几次,看台或树下，看别人动,去操场跑到没力气,和朋友：合影、表情包、抓拍
S0847,操场跑道,组团开黑边复习,天天吃,志愿者协会,月初土豪，月底吃土,什么也没带走，但也没白来,卡着铃声冲进去，坐最后一排,球场，组队打一场,拉朋友出去吃一顿,和朋友：合影、表情包、抓拍
S0848,网吧,死磕课本,天天吃,志愿者协会,月初土豪，月底吃土,宿舍的那群人,卡着铃声冲进去，坐最后一排,羽毛球乒乓球，约人打,开黑到凌晨，把气打出去,和朋友：合影、表情包、抓拍
S0849,食堂窗口,组团开黑边复习,一周三五次,乐队,月初土豪，月底吃土,食堂的那个窗口,让室友帮忙占座，自己慢慢来,羽毛球乒乓球，约人打,拉朋友出去吃一顿,风景和现场：演出、展览、天空
S0850,宿舍床上,组团开黑边复习,偶尔,乐队,兼职自力更生,操场的那圈跑道,提前十分钟到，坐前排,器械区随便练练，练完就走,给家里打个电话,和朋友：合影、表情包、抓拍
S0851,宿舍床上,组团开黑边复习,从不,电竞社,月初土豪，月底吃土,宿舍的那群人,让室友帮忙占座，自己慢慢来,看台或树下，看别人动,拉朋友出去吃一顿,运动记录、跑步路线、装备
S0852,食堂窗口,刷往年题,天天吃,志愿者协会,月初土豪，月底吃土,食堂的那个窗口,早上根本没课，我的课都在下午,球场，组队打一场,给家里打个电话,风景和现场：演出、展览、天空
S0853,食堂窗口,刷往年题,天天吃,电竞社,月初土豪，月底吃土,食堂的那个窗口,卡着铃声冲进去，坐最后一排,球场，组队打一场,拉朋友出去吃一顿,风景和现场：演出、展览、天空
S0854,操场跑道,刷往年题,偶尔,志愿者协会,家里定时打钱,什么也没带走，但也没白来,提前十分钟到，坐前排,跑道上，一个人戴着耳机跑,去操场跑到没力气,课件、板书、PPT 截图
S0855,操场跑道,组团开黑边复习,天天吃,乐队,月初土豪，月底吃土,食堂的那个窗口,让室友帮忙占座，自己慢慢来,球场，组队打一场,去操场跑到没力气,和朋友：合影、表情包、抓拍
S0856,图书馆自习室,刷往年题,从不,乐队,家里定时打钱,什么也没带走，但也没白来,提前十分钟到，坐前排,球场，组队打一场,睡一觉，第二天照常,吃的：外卖、食堂、探店
S0857,食堂窗口,组团开黑边复习,一周三五次,辩论队,月初土豪，月底吃土,宿舍的那群人,早上根本没课，我的课都在下午,看台或树下，看别人动,去操场跑到没力气,和朋友：合影、表情包、抓拍
S0858,网吧,临时抱佛脚,天天吃,摄影社,靠奖学金过日子,图书馆那张常坐的座位,早上根本没课，我的课都在下午,羽毛球乒乓球，约人打,拉朋友出去吃一顿,和朋友：合影、表情包、抓拍
S0859,食堂窗口,组团开黑边复习,偶尔,志愿者协会,月初土豪，月底吃土,食堂的那个窗口,提前十分钟到，坐前排,羽毛球乒乓球，约人打,拉朋友出去吃一顿,和朋友：合影、表情包、抓拍
S0860,操场跑道,提前两周就复习完了,天天吃,志愿者协会,月初土豪，月底吃土,操场的那圈跑道,卡着铃声冲进去，坐最后一排,跑道上，一个人戴着耳机跑,去操场跑到没力气,风景和现场：演出、展览、天空
S0861,食堂窗口,组团开黑边复习,从不,辩论队,月初土豪，月底吃土,什么也没带走，但也没白来,卡着铃声冲进去，坐最后一排,球场，组队打一场,给家里打个电话,吃的：外卖、食堂、探店
S0862,食堂窗口,组团开黑边复习,从不,志愿者协会,月初土豪，月底吃土,什么也没带走，但也没白来,早上根本没课，我的课都在下午,器械区随便练练，练完就走,开黑到凌晨，把气打出去,和朋友：合影、表情包、抓拍
S0863,操场跑道,临时抱佛脚,天天吃,志愿者协会,兼职自力更生,什么也没带走，但也没白来,卡着铃声冲进去，坐最后一排,看台或树下，看别人动,拉朋友出去吃一顿,运动记录、跑步路线、装备
S0864,食堂窗口,组团开黑边复习,偶尔,乐队,月初土豪，月底吃土,食堂的那个窗口,让室友帮忙占座，自己慢慢来,球场，组队打一场,拉朋友出去吃一顿,和朋友：合影、表情包、抓拍
S0865,网吧,组团开黑边复习,天天吃,摄影社,家里定时打钱,宿舍的那群人,提前十分钟到，坐前排,看台或树下，看别人动,拉朋友出去吃一顿,运动记录、跑步路线、装备
S0866,图书馆自习室,提前两周就复习完了,偶尔,辩论队,靠奖学金过日子,图书馆那张常坐的座位,卡着铃声冲进去，坐最后一排,器械区随便练练，练完就走,给家里打个电话,课件、板书、PPT 截图
S0867,图书馆自习室,临时抱佛脚,一周三五次,电竞社,家里定时打钱,什么也没带走，但也没白来,卡着铃声冲进去，坐最后一排,跑道上，一个人戴着耳机跑,开黑到凌晨，把气打出去,和朋友：合影、表情包、抓拍
S0868,操场跑道,组团开黑边复习,一周三五次,乐队,兼职自力更生,操场的那圈跑道,让室友帮忙占座，自己慢慢来,跑道上，一个人戴着耳机跑,给家里打个电话,吃的：外卖、食堂、探店
S0869,网吧,组团开黑边复习,天天吃,辩论队,兼职自力更生,图书馆那张常坐的座位,提前十分钟到，坐前排,器械区随便练练，练完就走,开黑到凌晨，把气打出去,吃的：外卖、食堂、探店
S0870,宿舍床上,组团开黑边复习,一周三五次,志愿者协会,靠奖学金过日子,宿舍的那群人,卡着铃声冲进去，坐最后一排,羽毛球乒乓球，约人打,开黑到凌晨，把气打出去,和朋友：合影、表情包、抓拍
S0871,食堂窗口,组团开黑边复习,一周三五次,电竞社,月初土豪，月底吃土,操场的那圈跑道,让室友帮忙占座，自己慢慢来,看台或树下，看别人动,拉朋友出去吃一顿,吃的：外卖、食堂、探店
S0872,宿舍床上,组团开黑边复习,天天吃,摄影社,月初土豪，月底吃土,食堂的那个窗口,早上根本没课，我的课都在下午,球场，组队打一场,拉朋友出去吃一顿,和朋友：合影、表情包、抓拍
S0873,宿舍床上,组团开黑边复习,一周三五次,志愿者协会,兼职自力更生,操场的那圈跑道,让室友帮忙占座，自己慢慢来,球场，组队打一场,拉朋友出去吃一顿,和朋友：合影、表情包、抓拍
S0874,食堂窗口,提前两周就复习完了,天天吃,摄影社,月初土豪，月底吃土,什么也没带走，但也没白来,选了，但没去过几次,看台或树下，看别人动,拉朋友出去吃一顿,吃的：外卖、食堂、探店
S0875,图书馆自习室,死磕课本,一周三五次,乐队,月初土豪，月底吃土,食堂的那个窗口,卡着铃声冲进去，坐最后一排,羽毛球乒乓球，约人打,拉朋友出去吃一顿,风景和现场：演出、展览、天空
S0876,食堂窗口,临时抱佛脚,一周三五次,电竞社,家里定时打钱,食堂的那个窗口,选了，但没去过几次,跑道上，一个人戴着耳机跑,开黑到凌晨，把气打出去,吃的：外卖、食堂、探店
S0877,宿舍床上,提前两周就复习完了,偶尔,志愿者协会,靠奖学金过日子,图书馆那张常坐的座位,提前十分钟到，坐前排,看台或树下，看别人动,开黑到凌晨，把气打出去,风景和现场：演出、展览、天空
S0878,网吧,组团开黑边复习,一周三五次,电竞社,家里定时打钱,图书馆那张常坐的座位,早上根本没课，我的课都在下午,球场，组队打一场,开黑到凌晨，把气打出去,课件、板书、PPT 截图
S0879,宿舍床上,组团开黑边复习,从不,摄影社,兼职自力更生,操场的那圈跑道,卡着铃声冲进去，坐最后一排,球场，组队打一场,睡一觉，第二天照常,和朋友：合影、表情包、抓拍
S0880,图书馆自习室,死磕课本,偶尔,辩论队,兼职自力更生,操场的那圈跑道,卡着铃声冲进去，坐最后一排,球场，组队打一场,拉朋友出去吃一顿,和朋友：合影、表情包、抓拍
S0881,操场跑道,死磕课本,偶尔,乐队,兼职自力更生,操场的那圈跑道,卡着铃声冲进去，坐最后一排,器械区随便练练，练完就走,去操场跑到没力气,运动记录、跑步路线、装备
S0882,食堂窗口,组团开黑边复习,一周三五次,辩论队,月初土豪，月底吃土,宿舍的那群人,让室友帮忙占座，自己慢慢来,羽毛球乒乓球，约人打,去操场跑到没力气,课件、板书、PPT 截图
S0883,食堂窗口,组团开黑边复习,天天吃,乐队,兼职自力更生,操场的那圈跑道,卡着铃声冲进去，坐最后一排,看台或树下，看别人动,开黑到凌晨，把气打出去,和朋友：合影、表情包、抓拍
S0884,食堂窗口,提前两周就复习完了,天天吃,乐队,月初土豪，月底吃土,食堂的那个窗口,卡着铃声冲进去，坐最后一排,看台或树下，看别人动,开黑到凌晨，把气打出去,吃的：外卖、食堂、探店
S0885,图书馆自习室,组团开黑边复习,一周三五次,志愿者协会,兼职自力更生,操场的那圈跑道,选了，但没去过几次,球场，组队打一场,去操场跑到没力气,和朋友：合影、表情包、抓拍
S0886,操场跑道,刷往年题,一周三五次,摄影社,兼职自力更生,操场的那圈跑道,让室友帮忙占座，自己慢慢来,球场，组队打一场,去操场跑到没力气,运动记录、跑步路线、装备
S0887,网吧,刷往年题,天天吃,乐队,月初土豪，月底吃土,食堂的那个窗口,早上根本没课，我的课都在下午,羽毛球乒乓球，约人打,给家里打个电话,运动记录、跑步路线、装备
S0888,图书馆自习室,刷往年题,一周三五次,电竞社,靠奖学金过日子,食堂的那个窗口,让室友帮忙占座，自己慢慢来,跑道上，一个人戴着耳机跑,拉朋友出去吃一顿,吃的：外卖、食堂、探店
S0889,图书馆自习室,刷往年题,偶尔,志愿者协会,靠奖学金过日子,食堂的那个窗口,提前十分钟到，坐前排,跑道上，一个人戴着耳机跑,给家里打个电话,风景和现场：演出、展览、天空
S0890,网吧,临时抱佛脚,天天吃,电竞社,兼职自力更生,什么也没带走，但也没白来,让室友帮忙占座，自己慢慢来,看台或树下，看别人动,睡一觉，第二天照常,和朋友：合影、表情包、抓拍
S0891,图书馆自习室,组团开黑边复习,天天吃,电竞社,靠奖学金过日子,食堂的那个窗口,提前十分钟到，坐前排,羽毛球乒乓球，约人打,给家里打个电话,和朋友：合影、表情包、抓拍
S0892,宿舍床上,组团开黑边复习,天天吃,电竞社,家里定时打钱,宿舍的那群人,选了，但没去过几次,看台或树下，看别人动,开黑到凌晨，把气打出去,运动记录、跑步路线、装备
S0893,网吧,组团开黑边复习,一周三五次,乐队,月初土豪，月底吃土,宿舍的那群人,选了，但没去过几次,看台或树下，看别人动,开黑到凌晨，把气打出去,和朋友：合影、表情包、抓拍
S0894,操场跑道,组团开黑边复习,从不,辩论队,家里定时打钱,操场的那圈跑道,提前十分钟到，坐前排,器械区随便练练，练完就走,去操场跑到没力气,和朋友：合影、表情包、抓拍
S0895,操场跑道,组团开黑边复习,一周三五次,乐队,家里定时打钱,宿舍的那群人,卡着铃声冲进去，坐最后一排,球场，组队打一场,拉朋友出去吃一顿,和朋友：合影、表情包、抓拍
S0896,食堂窗口,死磕课本,一周三五次,乐队,月初土豪，月底吃土,食堂的那个窗口,选了，但没去过几次,球场，组队打一场,给家里打个电话,风景和现场：演出、展览、天空
S0897,图书馆自习室,刷往年题,一周三五次,辩论队,靠奖学金过日子,宿舍的那群人,让室友帮忙占座，自己慢慢来,球场，组队打一场,睡一觉，第二天照常,课件、板书、PPT 截图
S0898,食堂窗口,组团开黑边复习,偶尔,乐队,月初土豪，月底吃土,宿舍的那群人,提前十分钟到，坐前排,羽毛球乒乓球，约人打,睡一觉，第二天照常,和朋友：合影、表情包、抓拍
S0899,食堂窗口,组团开黑边复习,一周三五次,电竞社,靠奖学金过日子,食堂的那个窗口,卡着铃声冲进去，坐最后一排,球场，组队打一场,开黑到凌晨，把气打出去,课件、板书、PPT 截图
S0900,图书馆自习室,死磕课本,天天吃,摄影社,兼职自力更生,什么也没带走，但也没白来,让室友帮忙占座，自己慢慢来,跑道上，一个人戴着耳机跑,拉朋友出去吃一顿,课件、板书、PPT 截图
S0901,宿舍床上,临时抱佛脚,一周三五次,乐队,兼职自力更生,食堂的那个窗口,卡着铃声冲进去，坐最后一排,羽毛球乒乓球，约人打,开黑到凌晨，把气打出去,和朋友：合影、表情包、抓拍
S0902,图书馆自习室,组团开黑边复习,天天吃,辩论队,兼职自力更生,图书馆那张常坐的座位,选了，但没去过几次,看台或树下，看别人动,给家里打个电话,风景和现场：演出、展览、天空
S0903,操场跑道,组团开黑边复习,天天吃,辩论队,月初土豪，月底吃土,什么也没带走，但也没白来,提前十分钟到，坐前排,羽毛球乒乓球，约人打,给家里打个电话,和朋友：合影、表情包、抓拍
S0904,食堂窗口,临时抱佛脚,一周三五次,辩论队,月初土豪，月底吃土,图书馆那张常坐的座位,选了，但没去过几次,器械区随便练练，练完就走,去操场跑到没力气,运动记录、跑步路线、装备
S0905,宿舍床上,临时抱佛脚,从不,电竞社,月初土豪，月底吃土,食堂的那个窗口,选了，但没去过几次,跑道上，一个人戴着耳机跑,拉朋友出去吃一顿,风景和现场：演出、展览、天空
S0906,图书馆自习室,提前两周就复习完了,从不,志愿者协会,家里定时打钱,图书馆那张常坐的座位,让室友帮忙占座，自己慢慢来,器械区随便练练，练完就走,睡一觉，第二天照常,课件、板书、PPT 截图
S0907,网吧,临时抱佛脚,天天吃,电竞社,月初土豪，月底吃土,宿舍的那群人,早上根本没课，我的课都在下午,跑道上，一个人戴着耳机跑,拉朋友出去吃一顿,和朋友：合影、表情包、抓拍
S0908,图书馆自习室,提前两周就复习完了,偶尔,摄影社,家里定时打钱,图书馆那张常坐的座位,提前十分钟到，坐前排,器械区随便练练，练完就走,睡一觉，第二天照常,运动记录、跑步路线、装备
S0909,网吧,组团开黑边复习,天天吃,乐队,靠奖学金过日子,食堂的那个窗口,卡着铃声冲进去，坐最后一排,羽毛球乒乓球，约人打,睡一觉，第二天照常,吃的：外卖、食堂、探店
S0910,操场跑道,临时抱佛脚,一周三五次,志愿者协会,家里定时打钱,宿舍的那群人,让室友帮忙占座，自己慢慢来,羽毛球乒乓球，约人打,给家里打个电话,吃的：外卖、食堂、探店
S0911,食堂窗口,刷往年题,天天吃,乐队,兼职自力更生,食堂的那个窗口,提前十分钟到，坐前排,看台或树下，看别人动,拉朋友出去吃一顿,吃的：外卖、食堂、探店
S0912,宿舍床上,刷往年题,天天吃,乐队,月初土豪，月底吃土,食堂的那个窗口,早上根本没课，我的课都在下午,羽毛球乒乓球，约人打,开黑到凌晨，把气打出去,运动记录、跑步路线、装备
S0913,网吧,提前两周就复习完了,天天吃,乐队,月初土豪，月底吃土,操场的那圈跑道,让室友帮忙占座，自己慢慢来,看台或树下，看别人动,开黑到凌晨，把气打出去,吃的：外卖、食堂、探店
S0914,食堂窗口,组团开黑边复习,天天吃,志愿者协会,家里定时打钱,图书馆那张常坐的座位,让室友帮忙占座，自己慢慢来,球场，组队打一场,给家里打个电话,吃的：外卖、食堂、探店
S0915,操场跑道,组团开黑边复习,一周三五次,辩论队,月初土豪，月底吃土,食堂的那个窗口,卡着铃声冲进去，坐最后一排,看台或树下，看别人动,去操场跑到没力气,风景和现场：演出、展览、天空
S0916,宿舍床上,组团开黑边复习,一周三五次,辩论队,家里定时打钱,什么也没带走，但也没白来,卡着铃声冲进去，坐最后一排,器械区随便练练，练完就走,去操场跑到没力气,和朋友：合影、表情包、抓拍
S0917,图书馆自习室,死磕课本,一周三五次,电竞社,兼职自力更生,宿舍的那群人,卡着铃声冲进去，坐最后一排,跑道上，一个人戴着耳机跑,睡一觉，第二天照常,运动记录、跑步路线、装备
S0918,操场跑道,死磕课本,一周三五次,电竞社,兼职自力更生,操场的那圈跑道,卡着铃声冲进去，坐最后一排,跑道上，一个人戴着耳机跑,给家里打个电话,和朋友：合影、表情包、抓拍
S0919,图书馆自习室,刷往年题,偶尔,辩论队,靠奖学金过日子,图书馆那张常坐的座位,选了，但没去过几次,跑道上，一个人戴着耳机跑,睡一觉，第二天照常,课件、板书、PPT 截图
S0920,网吧,临时抱佛脚,偶尔,电竞社,月初土豪，月底吃土,什么也没带走，但也没白来,卡着铃声冲进去，坐最后一排,看台或树下，看别人动,开黑到凌晨，把气打出去,风景和现场：演出、展览、天空
S0921,图书馆自习室,组团开黑边复习,从不,志愿者协会,靠奖学金过日子,宿舍的那群人,卡着铃声冲进去，坐最后一排,器械区随便练练，练完就走,睡一觉，第二天照常,课件、板书、PPT 截图
S0922,操场跑道,组团开黑边复习,偶尔,电竞社,兼职自力更生,宿舍的那群人,让室友帮忙占座，自己慢慢来,球场，组队打一场,开黑到凌晨，把气打出去,和朋友：合影、表情包、抓拍
S0923,宿舍床上,组团开黑边复习,天天吃,摄影社,靠奖学金过日子,食堂的那个窗口,卡着铃声冲进去，坐最后一排,羽毛球乒乓球，约人打,睡一觉，第二天照常,吃的：外卖、食堂、探店
S0924,网吧,临时抱佛脚,天天吃,摄影社,兼职自力更生,食堂的那个窗口,提前十分钟到，坐前排,羽毛球乒乓球，约人打,给家里打个电话,吃的：外卖、食堂、探店
S0925,操场跑道,刷往年题,偶尔,摄影社,家里定时打钱,什么也没带走，但也没白来,卡着铃声冲进去，坐最后一排,球场，组队打一场,睡一觉，第二天照常,运动记录、跑步路线、装备
S0926,图书馆自习室,死磕课本,偶尔,辩论队,靠奖学金过日子,图书馆那张常坐的座位,提前十分钟到，坐前排,器械区随便练练，练完就走,拉朋友出去吃一顿,课件、板书、PPT 截图
S0927,宿舍床上,死磕课本,从不,辩论队,靠奖学金过日子,操场的那圈跑道,提前十分钟到，坐前排,跑道上，一个人戴着耳机跑,睡一觉，第二天照常,课件、板书、PPT 截图
S0928,网吧,刷往年题,偶尔,摄影社,月初土豪，月底吃土,食堂的那个窗口,卡着铃声冲进去，坐最后一排,球场，组队打一场,睡一觉，第二天照常,吃的：外卖、食堂、探店
S0929,图书馆自习室,刷往年题,从不,辩论队,家里定时打钱,图书馆那张常坐的座位,提前十分钟到，坐前排,器械区随便练练，练完就走,给家里打个电话,课件、板书、PPT 截图
S0930,食堂窗口,提前两周就复习完了,天天吃,辩论队,兼职自力更生,食堂的那个窗口,早上根本没课，我的课都在下午,羽毛球乒乓球，约人打,睡一觉，第二天照常,吃的：外卖、食堂、探店
S0931,图书馆自习室,死磕课本,从不,志愿者协会,兼职自力更生,什么也没带走，但也没白来,早上根本没课，我的课都在下午,看台或树下，看别人动,睡一觉，第二天照常,课件、板书、PPT 截图
S0932,宿舍床上,组团开黑边复习,一周三五次,乐队,兼职自力更生,宿舍的那群人,提前十分钟到，坐前排,器械区随便练练，练完就走,开黑到凌晨，把气打出去,运动记录、跑步路线、装备
S0933,宿舍床上,提前两周就复习完了,一周三五次,乐队,月初土豪，月底吃土,宿舍的那群人,卡着铃声冲进去，坐最后一排,看台或树下，看别人动,拉朋友出去吃一顿,风景和现场：演出、展览、天空
S0934,食堂窗口,组团开黑边复习,天天吃,志愿者协会,月初土豪，月底吃土,食堂的那个窗口,卡着铃声冲进去，坐最后一排,羽毛球乒乓球，约人打,给家里打个电话,风景和现场：演出、展览、天空
S0935,图书馆自习室,死磕课本,一周三五次,志愿者协会,靠奖学金过日子,宿舍的那群人,提前十分钟到，坐前排,球场，组队打一场,开黑到凌晨，把气打出去,运动记录、跑步路线、装备
S0936,食堂窗口,死磕课本,一周三五次,乐队,月初土豪，月底吃土,食堂的那个窗口,早上根本没课，我的课都在下午,球场，组队打一场,睡一觉，第二天照常,吃的：外卖、食堂、探店
S0937,操场跑道,组团开黑边复习,一周三五次,辩论队,兼职自力更生,食堂的那个窗口,让室友帮忙占座，自己慢慢来,看台或树下，看别人动,拉朋友出去吃一顿,和朋友：合影、表情包、抓拍
S0938,宿舍床上,组团开黑边复习,天天吃,乐队,家里定时打钱,图书馆那张常坐的座位,让室友帮忙占座，自己慢慢来,看台或树下，看别人动,拉朋友出去吃一顿,吃的：外卖、食堂、探店
S0939,图书馆自习室,刷往年题,天天吃,志愿者协会,月初土豪，月底吃土,食堂的那个窗口,提前十分钟到，坐前排,球场，组队打一场,拉朋友出去吃一顿,和朋友：合影、表情包、抓拍
S0940,网吧,死磕课本,偶尔,电竞社,月初土豪，月底吃土,食堂的那个窗口,选了，但没去过几次,羽毛球乒乓球，约人打,开黑到凌晨，把气打出去,运动记录、跑步路线、装备
S0941,网吧,提前两周就复习完了,一周三五次,乐队,月初土豪，月底吃土,什么也没带走，但也没白来,卡着铃声冲进去，坐最后一排,球场，组队打一场,睡一觉，第二天照常,风景和现场：演出、展览、天空
S0942,网吧,提前两周就复习完了,偶尔,电竞社,月初土豪，月底吃土,操场的那圈跑道,让室友帮忙占座，自己慢慢来,看台或树下，看别人动,拉朋友出去吃一顿,和朋友：合影、表情包、抓拍
S0943,图书馆自习室,临时抱佛脚,天天吃,乐队,家里定时打钱,宿舍的那群人,选了，但没去过几次,看台或树下，看别人动,开黑到凌晨，把气打出去,吃的：外卖、食堂、探店
S0944,网吧,临时抱佛脚,一周三五次,辩论队,家里定时打钱,宿舍的那群人,让室友帮忙占座，自己慢慢来,羽毛球乒乓球，约人打,给家里打个电话,和朋友：合影、表情包、抓拍
S0945,网吧,刷往年题,天天吃,辩论队,月初土豪，月底吃土,宿舍的那群人,选了，但没去过几次,球场，组队打一场,开黑到凌晨，把气打出去,吃的：外卖、食堂、探店
S0946,食堂窗口,死磕课本,天天吃,电竞社,兼职自力更生,食堂的那个窗口,让室友帮忙占座，自己慢慢来,羽毛球乒乓球，约人打,拉朋友出去吃一顿,和朋友：合影、表情包、抓拍
S0947,网吧,临时抱佛脚,一周三五次,辩论队,月初土豪，月底吃土,操场的那圈跑道,早上根本没课，我的课都在下午,羽毛球乒乓球，约人打,开黑到凌晨，把气打出去,和朋友：合影、表情包、抓拍
S0948,宿舍床上,临时抱佛脚,从不,乐队,月初土豪，月底吃土,宿舍的那群人,让室友帮忙占座，自己慢慢来,羽毛球乒乓球，约人打,开黑到凌晨，把气打出去,吃的：外卖、食堂、探店
S0949,网吧,组团开黑边复习,天天吃,志愿者协会,月初土豪，月底吃土,食堂的那个窗口,早上根本没课，我的课都在下午,羽毛球乒乓球，约人打,给家里打个电话,和朋友：合影、表情包、抓拍
S0950,操场跑道,刷往年题,天天吃,摄影社,月初土豪，月底吃土,操场的那圈跑道,卡着铃声冲进去，坐最后一排,羽毛球乒乓球，约人打,给家里打个电话,和朋友：合影、表情包、抓拍
S0951,宿舍床上,组团开黑边复习,天天吃,乐队,兼职自力更生,宿舍的那群人,卡着铃声冲进去，坐最后一排,跑道上，一个人戴着耳机跑,给家里打个电话,吃的：外卖、食堂、探店
S0952,食堂窗口,组团开黑边复习,天天吃,志愿者协会,家里定时打钱,食堂的那个窗口,让室友帮忙占座，自己慢慢来,羽毛球乒乓球，约人打,拉朋友出去吃一顿,和朋友：合影、表情包、抓拍
S0953,宿舍床上,组团开黑边复习,一周三五次,摄影社,兼职自力更生,什么也没带走，但也没白来,选了，但没去过几次,球场，组队打一场,睡一觉，第二天照常,吃的：外卖、食堂、探店
S0954,网吧,临时抱佛脚,偶尔,志愿者协会,靠奖学金过日子,食堂的那个窗口,让室友帮忙占座，自己慢慢来,羽毛球乒乓球，约人打,睡一觉，第二天照常,和朋友：合影、表情包、抓拍
S0955,食堂窗口,刷往年题,一周三五次,辩论队,月初土豪，月底吃土,宿舍的那群人,让室友帮忙占座，自己慢慢来,羽毛球乒乓球，约人打,开黑到凌晨，把气打出去,风景和现场：演出、展览、天空
S0956,食堂窗口,组团开黑边复习,天天吃,辩论队,月初土豪，月底吃土,宿舍的那群人,早上根本没课，我的课都在下午,羽毛球乒乓球，约人打,拉朋友出去吃一顿,和朋友：合影、表情包、抓拍
S0957,食堂窗口,组团开黑边复习,天天吃,乐队,家里定时打钱,食堂的那个窗口,选了，但没去过几次,球场，组队打一场,给家里打个电话,风景和现场：演出、展览、天空
S0958,食堂窗口,死磕课本,天天吃,电竞社,靠奖学金过日子,什么也没带走，但也没白来,卡着铃声冲进去，坐最后一排,羽毛球乒乓球，约人打,给家里打个电话,风景和现场：演出、展览、天空
S0959,操场跑道,提前两周就复习完了,偶尔,乐队,兼职自力更生,操场的那圈跑道,让室友帮忙占座，自己慢慢来,羽毛球乒乓球，约人打,睡一觉，第二天照常,运动记录、跑步路线、装备
S0960,图书馆自习室,刷往年题,偶尔,摄影社,月初土豪，月底吃土,操场的那圈跑道,让室友帮忙占座，自己慢慢来,看台或树下，看别人动,拉朋友出去吃一顿,和朋友：合影、表情包、抓拍
S0961,操场跑道,死磕课本,从不,辩论队,家里定时打钱,操场的那圈跑道,让室友帮忙占座，自己慢慢来,球场，组队打一场,去操场跑到没力气,运动记录、跑步路线、装备
